id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
59,Arizona State Univ.,-1.0739,-0.3783,12,2,2,6,70,8.547,2019.5,11.6667,1.4245
95,Beijing Inst. Technol.,0.3968,-0.6458,7,8,16,18,79,12.4539,2020.1875,4.3889,0.6919
112,Beijing Univ. Posts & Telecommun,-0.0561,-0.6737,7,5,7,21,65,25.5824,2020.6316,3.0952,1.2182
149,Carleton Univ.,-0.287,-0.7358,2,4,7,6,150,11.3341,2018.3333,25,1.889
150,Carnegie Mellon Univ.,-0.3254,0.251,5,8,8,16,523,12.3057,2016.0625,32.6875,0.7691
198,Chinese Acad. Sci.,-0.1197,-0.4397,7,16,26,38,379,39.1807,2019.2941,9.9737,1.0311
200,Chinese Univ. Hong Kong,-0.508,0.1047,2,8,8,7,60,6.9258,2019.8333,8.5714,0.9894
215,City Univ. Hong Kong,0.0173,-0.5437,3,8,11,12,370,48.915,2016,30.8333,4.0762
244,Csiro,0.4059,-0.0608,3,6,9,8,129,18.4765,2020.2857,16.125,2.3096
258,Dalian Univ. Technol.,-0.5497,-0.8218,2,6,9,8,178,12.0097,2018.75,22.25,1.5012
262,Deakin Univ.,0.2129,0.1295,1,10,15,14,94,16.8728,2019.5714,6.7143,1.2052
289,East China Normal Univ.,-0.9834,0.1972,6,4,5,9,84,7.9237,2019.7778,9.3333,0.8804
342,Fujian Normal Univ.,0.0386,-0.3096,1,10,12,7,52,8.5047,2018.7143,7.4286,1.215
348,George Mason Univ.,-0.4597,-0.0194,1,4,5,8,75,3.6221,2018,9.375,0.4528
351,Georgia Inst. Technol.,-0.0731,0.3376,8,11,12,12,220,20.3422,2019.3636,18.3333,1.6952
373,Guangzhou Univ.,0.2945,-0.2787,7,10,15,27,134,18.8163,2020.44,4.963,0.6969
