id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
420,Adversarial Attack,0.6386,0.2466,2,150,2522,477,2020.4214,3.0482,0.961
433,Adversarial Attacks,0.2033,0.216,3,150,2012,370,2020.1514,3.8189,0.8322
469,Adversarial Defense,0.9802,0.3231,2,105,459,79,2020.4937,4,1.5152
487,Adversarial Environments,-0.7101,0.3166,1,101,468,140,2017.35,12.0071,0.6617
493,Adversarial Example,0.9789,0.2013,2,143,1450,252,2020.2976,4.3929,0.9307
504,Adversarial Examples,0.8847,0.0496,2,147,2037,371,2020.0377,5.6226,0.7705
544,Adversarial Learning,-0.6305,-0.3426,4,146,1341,244,2019.082,13.9262,1.0605
551,Adversarial Machine Learning,-0.6871,-0.4715,4,150,1858,333,2019.6096,12.2733,1.2575
585,Adversarial Networks,-0.505,-0.2713,1,145,1844,378,2019.7831,8.381,1.3725
627,Adversarial Robustness,0.2966,0.2995,3,108,360,74,2020.4189,1.9459,0.7044
662,Adversarial Training,0.3796,0.3982,3,119,495,94,2020.3298,1.9149,0.5557
845,Algorithms,-0.2798,0.5355,1,80,208,63,2015.127,55,2.2146
986,Anomaly Detection,-0.9939,-0.2208,1,116,577,112,2019.5804,5.7857,0.9122
1218,Article,-0.0005,0.5962,1,120,583,103,2019.7282,13.8641,2.1625
1234,Artificial Intelligence,-0.3351,-0.3379,4,150,1775,370,2018.5784,29.0081,1.3887
1350,Attack Detection,-0.2183,-0.2802,1,112,464,99,2019.5354,6.0606,1.137
1371,Attack Methods,0.934,-0.2626,2,139,1170,215,2020.2279,6.1674,0.7914
1402,Attack Strategies,-0.2296,0.3121,1,119,410,85,2019.1176,27.3294,1.3364
1539,Authentication,-0.7516,-0.0155,1,98,435,144,2018.4931,13.3125,1.3892
1562,Auto Encoders,0.37,-0.3721,2,109,349,62,2020.0968,5.9677,0.9447
1713,Autonomous Driving,0.8084,0.7174,2,96,418,73,2020.1644,12.8356,1.3096
1737,Autonomous Vehicles,0.7766,0.7074,2,98,368,69,2020.0145,8.7536,1.3566
1985,Benchmark Datasets,0.335,-0.1952,3,118,446,75,2020.0533,8.6933,1.2669
1990,Benchmarking,0.2938,-0.2411,3,106,367,61,2020.1311,7.3115,1.6129
2044,Big Data,-0.4002,-0.2044,5,107,365,59,2019.2203,4.6949,0.487
2165,Biometrics,-0.1373,-0.3117,1,90,326,88,2018.8977,11.75,1.2175
