From,To,Frequency
USA,CHINA,278
CHINA,AUSTRALIA,85
CHINA,SINGAPORE,55
CHINA,UNITED KINGDOM,55
USA,GERMANY,45
USA,UNITED KINGDOM,43
USA,CANADA,39
USA,INDIA,36
USA,AUSTRALIA,35
USA,SINGAPORE,35
USA,KOREA,34
CHINA,CANADA,32
CHINA,JAPAN,27
USA,ISRAEL,23
USA,FRANCE,22
USA,ITALY,22
USA,JAPAN,20
USA,SWITZERLAND,17
GERMANY,ITALY,16
USA,QATAR,15
GERMANY,UNITED KINGDOM,14
USA,SAUDI ARABIA,14
JAPAN,SINGAPORE,13
UNITED KINGDOM,AUSTRALIA,13
CHINA,ITALY,12
CHINA,SAUDI ARABIA,12
ITALY,FRANCE,12
UNITED KINGDOM,PAKISTAN,12
USA,SPAIN,12
CHINA,FRANCE,11
ITALY,UNITED KINGDOM,10
GERMANY,NETHERLANDS,9
CHINA,PAKISTAN,8
UNITED KINGDOM,NETHERLANDS,8
AUSTRALIA,JAPAN,7
CHINA,QATAR,7
GERMANY,SWITZERLAND,7
ITALY,AUSTRIA,7
PAKISTAN,QATAR,7
UNITED KINGDOM,GREECE,7
USA,BRAZIL,7
USA,SWEDEN,7
CANADA,FRANCE,6
CHINA,INDIA,6
INDIA,AUSTRALIA,6
INDIA,ITALY,6
INDIA,UNITED KINGDOM,6
