id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
480,CVPR,-0.0463,0.0411,1,10,39,164,3671,350.7349,2020.0232,22.3841,2.1386
1049,NIPS,-0.3086,0.6509,1,4,6,145,1944,139.2587,2019.211,17.8349,1.2776
290,AAAI,0.3935,-0.0363,2,3,6,140,1259,136.486,2019.9797,18.2464,1.9781
298,ACM CCS,0.2437,0.0917,4,11,36,70,5340,211.1315,2018.0476,50.8571,2.0108
603,ICCV,-0.2636,0.2529,3,4,6,130,1147,54.7844,2019.9082,23.4082,1.118
614,ICLR,-0.0244,0.3593,1,11,30,98,4442,178.0732,2019.5435,96.5652,3.8712
981,KDD,0.3926,0.0551,3,4,6,120,887,51.9247,2019.9105,23.3421,1.3664
615,ICML,1.3517,-0.4383,2,2,2,96,1030,50.3013,2019.6429,36.7857,1.7965
600,ICASSP,-0.5192,0.3833,1,6,16,71,442,77.3734,2019.7887,6.2254,1.0898
629,,-0.4138,-0.0574,3,17,69,0,1368,151.9643,2020.0407,11.122,1.2355
720,IEEE Transactions On Information Forensics And Security,-0.4552,-0.0886,1,12,37,62,781,161.5762,2019.6613,12.5968,2.6061
687,IEEE Symposium On Security And Privacy,0.1744,-0.1834,4,8,25,40,4922,208.6566,2018.75,123.05,5.2164
449,Computers and Security,0.1768,-0.0011,6,11,30,36,335,46.4384,2019.3333,9.3056,1.29
799,Information Sciences,-0.5045,-0.2527,5,13,34,32,492,68.396,2019.4375,15.375,2.1374
707,IEEE Transactions On Dependable And Secure Computing,-0.1875,0.3492,1,7,7,29,521,90.9088,2019.2069,17.9655,3.1348
784,IJCAI,1.6157,-0.1923,2,1,2,29,528,34.1819,2018.9621,18.2069,1.1787
733,IEEE Transactions On Neural Networks And Learning Systems,0.0304,0.2386,3,12,32,21,510,49.4658,2020.3333,24.2857,2.3555
725,IEEE Transactions On Knowledge And Data Engineering,0.9387,-0.1257,2,15,26,15,414,33.9982,2019.4,27.6,2.2665
691,IEEE Transactions On Automatic Control,-1.6299,-0.4051,5,4,6,0,1042,43.8336,2018.7273,94.7273,3.9849
742,IEEE Transactions On Smart Grid,-2.1083,-0.5087,5,1,1,0,420,44.0216,2019.3,42,4.4022
1066,Pattern Recognition,-0.0891,0.2534,1,13,35,10,481,81.7612,2020.2,48.1,8.1761
343,Aisec,0.8859,-0.3874,2,4,7,6,730,14.5787,2017,121.6667,2.4298
301,,0.3468,0.0014,4,13,52,0,535,29.9085,2019.44,4.28,0.2393
